month,day,hour,value
1,11,2100,2.4
1,11,2200,2
1,11,2300,2.9
1,12,0,4.1
1,12,100,5.5
1,12,200,6.5
1,12,300,6.9
1,12,400,7.7
1,12,500,7.2
1,12,600,6.6
1,12,700,4.5
1,12,800,3.1
1,12,900,2.2
1,12,1000,1.5
1,12,1100,1.2
1,12,1200,0.8
1,12,1300,0.6
1,12,1400,0
1,12,1500,0
1,12,1600,-0.1
1,12,1700,-0.2
1,12,1800,-0.6
1,12,1900,-0.8
1,12,2000,-1.5
1,12,2100,-2.2
1,12,2200,-2.4
1,12,2300,0.2
1,13,0,2
1,13,100,3.2
1,13,200,4
1,13,300,5.5
1,13,400,5.9
1,13,500,5.9
1,13,600,6
1,13,700,5
1,13,800,4
1,13,900,3.4
1,13,1000,2.4
1,13,1100,1
1,13,1200,0.4
1,13,1300,-0.3
1,13,1400,-0.8
1,13,1500,-1.3
1,13,1600,-1.5
1,13,1700,-2.7
1,13,1800,-2.5
1,13,1900,-2
1,13,2000,-2.4
1,13,2100,-3.4
1,13,2200,-2.7
1,13,2300,-1.8
1,14,0,0.6
1,14,100,3.2
1,14,200,4.9
1,14,300,7.8
1,14,400,7.6
1,14,500,7.5
1,14,600,5.9
1,14,700,5.6
1,14,800,5.5
1,14,900,4
1,14,1000,2.9
1,14,1100,2.2
1,14,1200,1.2
1,14,1300,0
1,14,1400,-0.8
1,14,1500,-1.2
1,14,1600,-1.8
1,14,1700,-2.4
1,14,1800,-3
1,14,1900,-3.4
1,14,2000,-3.9
1,14,2100,-4.3
1,14,2200,-4.1
1,14,2300,-3.4
1,15,0,-2.4
1,15,100,-1.2
1,15,200,-0.5
1,15,300,0.5
1,15,400,1.6
1,15,500,1.9
1,15,600,1.8
1,15,700,0.4
1,15,800,-0.8
1,15,900,-1.2
1,15,1000,-1.6
1,15,1100,-1.7
1,15,1200,-1.9
1,15,1300,-2.4
1,15,1400,-2.5
1,15,1500,-3.4
1,15,1600,-3.6
1,15,1700,-3.7
1,15,1800,-4.9
1,15,1900,-4.9
1,15,2000,-4.9
1,15,2100,-5.1
1,15,2200,-4.8
1,15,2300,-3.7
1,16,0,-2.4
1,16,100,-1
1,16,200,0.1
1,16,300,1.8
1,16,400,2.8
1,16,500,3.3
1,16,600,3.9
1,16,700,3.2
1,16,800,2.4
1,16,900,1.8
1,16,1000,0.8
1,16,1100,0.1
1,16,1200,0
1,16,1300,-0.4
1,16,1400,-1.5
1,16,1500,-1.2
1,16,1600,-0.6
1,16,1700,-0.8
1,16,1800,-0.8
1,16,1900,-0.7
1,16,2000,-0.8
1,16,2100,-0.6
1,16,2200,-0.1
1,16,2300,1
1,17,0,0.6
1,17,100,1.3
1,17,200,1.6
1,17,300,2.2
1,17,400,2.2
1,17,500,2
1,17,600,2
1,17,700,1.7
1,17,800,1.7
1,17,900,1.8
1,17,1000,2
1,17,1100,2.2
1,17,1200,2.2
1,17,1300,2.4
1,17,1400,2.6
1,17,1500,2.2
1,17,1600,2.5
1,17,1700,2.5
1,17,1800,2.7
1,17,1900,3
1,17,2000,3
1,17,2100,3.2
1,17,2200,3.2
1,17,2300,3.9
1,18,0,4
1,18,100,4.4
1,18,200,4.7
1,18,300,4.8
1,18,400,5
1,18,500,5.6
1,18,600,5.7
1,18,700,5.7
1,18,800,5.7
1,18,900,5.8
1,18,1000,6.1
1,18,1100,6.8
1,18,1200,6.6
1,18,1300,6.6
1,18,1400,6.8
1,18,1500,6.6
1,18,1600,6.5
1,18,1700,6.3
1,18,1800,6.1
1,18,1900,6
1,18,2000,5.9
1,18,2100,6.1
1,18,2200,5.9
1,18,2300,6.5
1,19,0,7.4
1,19,100,8
1,19,200,8.5
1,19,300,8.6
1,19,400,8.5
1,19,500,8
1,19,600,7.5
1,19,700,6.9
1,19,800,6.4
1,19,900,6
1,19,1000,5.6
1,19,1100,5.8
1,19,1200,5.8
1,19,1300,5.5
1,19,1400,5
1,19,1500,5.3
1,19,1600,4.5
1,19,1700,4.8
1,19,1800,4.6
1,19,1900,4.5
1,19,2000,4.9
1,19,2100,4.9
1,19,2200,5.2
1,19,2300,6
1,20,0,6.9
1,20,100,5.5
1,20,200,4.6
1,20,300,4.4
1,20,400,4
1,20,500,3.7
1,20,600,3.7
1,20,700,3.4
1,20,800,3.2
1,20,900,3
1,20,1000,2.7
1,20,1100,2.7
1,20,1200,2.7
1,20,1300,2.9
1,20,1400,2.4
1,20,1500,1.6
1,20,1600,2
1,20,1700,1.7
1,20,1800,1.7
1,20,1900,1.7
1,20,2000,1.7
1,20,2100,1.7
1,20,2200,1.8
1,20,2300,2.2
1,21,0,3
1,21,100,4.4
1,21,200,5.3
1,21,300,6.1
1,21,400,6.4
1,21,500,6.5
1,21,600,5.9
1,21,700,4.8
1,21,800,3.2
1,21,900,2.5
1,21,1000,2.5
1,21,1100,2.1
1,21,1200,1.5
1,21,1300,0.9
1,21,1400,0.2
1,21,1500,-0.2
1,21,1600,-0.4
1,21,1700,-1.6
1,21,1800,-2.3
1,21,1900,-3
1,21,2000,-4.5
1,21,2100,-5
